Date,Value
2013-12-31,30241100.0
2012-12-31,29774500.0
2011-12-31,29339400.0
2010-12-31,28562400.0
2009-12-31,27767400.0
2008-12-31,27302800.0
2007-12-31,26868000.0
2006-12-31,26488250.0
2005-12-31,26167000.0
2004-12-31,25864350.0
2003-12-31,25567650.0
2002-12-31,25271850.0
2001-12-31,24964450.0
2000-12-31,24650400.0
1999-12-31,24311650.0
1998-12-31,24051000.0
1997-12-31,23667000.0
1996-12-31,23225000.0
1995-12-31,22785000.0
1994-12-31,22377000.0
1993-12-31,21942000.0
1992-12-31,21449000.0
1991-12-31,20952000.0
1990-12-31,20510000.0
1989-12-31,20076683.0
1988-12-31,19606739.0
1987-12-31,19144237.0
1986-12-31,18686358.0
1985-12-31,18231176.0
1984-12-31,17778956.0
1983-12-31,17331390.0
1982-12-31,16889450.0
1981-12-31,16454356.0
1980-12-31,16026812.0
1979-12-31,15607909.0
1978-12-31,15197091.0
1977-12-31,14791449.0
1976-12-31,14386952.0
1975-12-31,13980997.0
1974-12-31,13571927.0
1973-12-31,13161372.0
1972-12-31,12753995.0
1971-12-31,12356359.0
1970-12-31,11972994.0
1969-12-31,11606438.0
1968-12-31,11254896.0
1967-12-31,10913360.0
1966-12-31,10574523.0
1965-12-31,10233502.0
1964-12-31,9888629.0
1963-12-31,9542785.0
1962-12-31,9201176.0
1961-12-31,8871244.0
1960-12-31,8558503.0
