Date,Value
2013-12-31,109373.0
2012-12-31,109373.0
2011-12-31,109357.0
2010-12-31,109316.0
2009-12-31,109249.0
2008-12-31,109158.0
2007-12-31,109045.0
2006-12-31,108908.0
2005-12-31,108749.0
2004-12-31,108562.0
2003-12-31,108353.0
2002-12-31,108150.0
2001-12-31,107989.0
2000-12-31,107897.0
1999-12-31,107879.0
1998-12-31,107923.0
1997-12-31,108001.0
1996-12-31,108078.0
1995-12-31,108122.0
1994-12-31,108129.0
1993-12-31,108097.0
1992-12-31,108001.0
1991-12-31,107811.0
1990-12-31,107509.0
1989-12-31,107081.0
1988-12-31,106533.0
1987-12-31,105892.0
1986-12-31,105197.0
1985-12-31,104477.0
1984-12-31,103742.0
1983-12-31,102985.0
1982-12-31,102202.0
1981-12-31,101378.0
1980-12-31,100506.0
1979-12-31,99589.0
1978-12-31,98634.0
1977-12-31,97649.0
1976-12-31,96639.0
1975-12-31,95614.0
1974-12-31,94572.0
1973-12-31,93516.0
1972-12-31,92465.0
1971-12-31,91440.0
1970-12-31,90457.0
1969-12-31,89518.0
1968-12-31,88615.0
1967-12-31,87736.0
1966-12-31,86860.0
1965-12-31,85972.0
1964-12-31,85076.0
1963-12-31,84167.0
1962-12-31,83206.0
1961-12-31,82144.0
1960-12-31,80948.0
