Date,Value
2013-12-31,30405207.0
2012-12-31,29954782.0
2011-12-31,29500625.0
2010-12-31,29043283.0
2009-12-31,28583040.0
2008-12-31,28120312.0
2007-12-31,27655937.0
2006-12-31,27190882.0
2005-12-31,26725897.0
2004-12-31,26261326.0
2003-12-31,25797219.0
2002-12-31,25333622.0
2001-12-31,24870441.0
2000-12-31,24407553.0
1999-12-31,23945002.0
1998-12-31,23482700.0
1997-12-31,23020184.0
1996-12-31,22556838.0
1995-12-31,22092144.0
1994-12-31,21626607.0
1993-12-31,21160262.0
1992-12-31,20691641.0
1991-12-31,20218813.0
1990-12-31,19740786.0
1989-12-31,19256060.0
1988-12-31,18766017.0
1987-12-31,18275997.0
1986-12-31,17793283.0
1985-12-31,17322754.0
1984-12-31,16867806.0
1983-12-31,16426198.0
1982-12-31,15990376.0
1981-12-31,15549525.0
1980-12-31,15096432.0
1979-12-31,14628595.0
1978-12-31,14150223.0
1977-12-31,13669054.0
1976-12-31,13196169.0
1975-12-31,12739894.0
1974-12-31,12302193.0
1973-12-31,11881567.0
1972-12-31,11478612.0
1971-12-31,11093065.0
1970-12-31,10724328.0
1969-12-31,10373554.0
1968-12-31,10040248.0
1967-12-31,9719951.0
1966-12-31,9406598.0
1965-12-31,9095742.0
1964-12-31,8785731.0
1963-12-31,8477485.0
1962-12-31,8172322.0
1961-12-31,7872644.0
1960-12-31,7580281.0
