Date,Value
2013-12-31,89708900.0
2012-12-31,88772900.0
2011-12-31,87840000.0
2010-12-31,86932500.0
2009-12-31,86025000.0
2008-12-31,85122300.0
2007-12-31,84221100.0
2006-12-31,83313000.0
2005-12-31,82393500.0
2004-12-31,81437700.0
2003-12-31,80468400.0
2002-12-31,79538700.0
2001-12-31,78621000.0
2000-12-31,77630900.0
1999-12-31,76596700.0
1998-12-31,75456300.0
1997-12-31,74306900.0
1996-12-31,73156700.0
1995-12-31,71995500.0
1994-12-31,70824500.0
1993-12-31,69644500.0
1992-12-31,68450100.0
1991-12-31,67242400.0
1990-12-31,66016700.0
1989-12-31,64774000.0
1988-12-31,63263000.0
1987-12-31,61750000.0
1986-12-31,60249000.0
1985-12-31,58868000.0
1984-12-31,57692000.0
1983-12-31,56655000.0
1982-12-31,55687000.0
1981-12-31,54722000.0
1980-12-31,53700000.0
1979-12-31,52574000.0
1978-12-31,51436000.0
1977-12-31,50295000.0
1976-12-31,49158000.0
1975-12-31,48030000.0
1974-12-31,46918000.0
1973-12-31,45825000.0
1972-12-31,44758000.0
1971-12-31,43725000.0
1970-12-31,42729000.0
1969-12-31,41773000.0
1968-12-31,40856000.0
1967-12-31,39980000.0
1966-12-31,39142000.0
1965-12-31,38341000.0
1964-12-31,37574000.0
1963-12-31,36836000.0
1962-12-31,36123000.0
1961-12-31,35428000.0
1960-12-31,34743000.0
