Date,Value
2013-12-31,252763.0
2012-12-31,247262.0
2011-12-31,241778.0
2010-12-31,236299.0
2009-12-31,230833.0
2008-12-31,225398.0
2007-12-31,220001.0
2006-12-31,214654.0
2005-12-31,209375.0
2004-12-31,204135.0
2003-12-31,198952.0
2002-12-31,193950.0
2001-12-31,189285.0
2000-12-31,185058.0
1999-12-31,181346.0
1998-12-31,178074.0
1997-12-31,175004.0
1996-12-31,171802.0
1995-12-31,168236.0
1994-12-31,164209.0
1993-12-31,159814.0
1992-12-31,155242.0
1991-12-31,150779.0
1990-12-31,146633.0
1989-12-31,142852.0
1988-12-31,139369.0
1987-12-31,136129.0
1986-12-31,133040.0
1985-12-31,130028.0
1984-12-31,127094.0
1983-12-31,124248.0
1982-12-31,121433.0
1981-12-31,118578.0
1980-12-31,115634.0
1979-12-31,112579.0
1978-12-31,109429.0
1977-12-31,106223.0
1976-12-31,103024.0
1975-12-31,99879.0
1974-12-31,96793.0
1973-12-31,93761.0
1972-12-31,90824.0
1971-12-31,88023.0
1970-12-31,85388.0
1969-12-31,82941.0
1968-12-31,80669.0
1967-12-31,78518.0
1966-12-31,76410.0
1965-12-31,74287.0
1964-12-31,72131.0
1963-12-31,69962.0
1962-12-31,67806.0
1961-12-31,65708.0
1960-12-31,63701.0
