Date,Value
2013-12-31,190372.0
2012-12-31,188889.0
2011-12-31,187429.0
2010-12-31,186029.0
2009-12-31,184704.0
2008-12-31,183444.0
2007-12-31,182240.0
2006-12-31,181073.0
2005-12-31,179928.0
2004-12-31,178794.0
2003-12-31,177677.0
2002-12-31,176592.0
2001-12-31,175567.0
2000-12-31,174614.0
1999-12-31,173758.0
1998-12-31,172979.0
1997-12-31,172191.0
1996-12-31,171276.0
1995-12-31,170158.0
1994-12-31,168786.0
1993-12-31,167206.0
1992-12-31,165568.0
1991-12-31,164073.0
1990-12-31,162865.0
1989-12-31,162001.0
1988-12-31,161424.0
1987-12-31,161014.0
1986-12-31,160591.0
1985-12-31,160030.0
1984-12-31,159281.0
1983-12-31,158383.0
1982-12-31,157401.0
1981-12-31,156435.0
1980-12-31,155554.0
1979-12-31,154763.0
1978-12-31,154010.0
1977-12-31,153244.0
1976-12-31,152390.0
1975-12-31,151383.0
1974-12-31,150219.0
1973-12-31,148889.0
1972-12-31,147323.0
1971-12-31,145437.0
1970-12-31,143175.0
1969-12-31,140520.0
1968-12-31,137503.0
1967-12-31,134194.0
1966-12-31,130687.0
1965-12-31,127068.0
1964-12-31,123354.0
1963-12-31,119564.0
1962-12-31,115786.0
1961-12-31,112121.0
1960-12-31,108645.0
