Date,Value
2013-12-31,24407381.0
2012-12-31,23852409.0
2011-12-31,23304206.0
2010-12-31,22763008.0
2009-12-31,22229625.0
2008-12-31,21703571.0
2007-12-31,21182162.0
2006-12-31,20661714.0
2005-12-31,20139661.0
2004-12-31,19612696.0
2003-12-31,19081306.0
2002-12-31,18551068.0
2001-12-31,18029989.0
2000-12-31,17522537.0
1999-12-31,17035531.0
1998-12-31,16564235.0
1997-12-31,16088019.0
1996-12-31,15578640.0
1995-12-31,15018201.0
1994-12-31,14396720.0
1993-12-31,13726827.0
1992-12-31,13040955.0
1991-12-31,12384543.0
1990-12-31,11790249.0
1989-12-31,11270427.0
1988-12-31,10815614.0
1987-12-31,10409987.0
1986-12-31,10028064.0
1985-12-31,9651313.0
1984-12-31,9276622.0
1983-12-31,8910830.0
1982-12-31,8557021.0
1981-12-31,8220933.0
1980-12-31,7906977.0
1979-12-31,7613672.0
1978-12-31,7339452.0
1977-12-31,7088585.0
1976-12-31,6866630.0
1975-12-31,6676714.0
1974-12-31,6520690.0
1973-12-31,6394922.0
1972-12-31,6290197.0
1971-12-31,6193897.0
1970-12-31,6096574.0
1969-12-31,5994901.0
1968-12-31,5890204.0
1967-12-31,5783454.0
1966-12-31,5677339.0
1965-12-31,5573959.0
1964-12-31,5472775.0
1963-12-31,5372934.0
1962-12-31,5276093.0
1961-12-31,5184477.0
1960-12-31,5099785.0
