Date,Value
2013-12-31,52981991.0
2012-12-31,52274945.0
2011-12-31,51579599.0
2010-12-31,50895698.0
2009-12-31,50222996.0
2008-12-31,49561256.0
2007-12-31,48910248.0
2006-12-31,48269753.0
2005-12-31,47639556.0
2004-12-31,47019452.0
2003-12-31,46409243.0
2002-12-31,45808736.0
2001-12-31,44909738.0
2000-12-31,44000000.0
1999-12-31,42923485.0
1998-12-31,41899683.0
1997-12-31,40926063.0
1996-12-31,40000247.0
1995-12-31,39120000.0
1994-12-31,38283223.0
1993-12-31,37473796.0
1992-12-31,36690739.0
1991-12-31,35933108.0
1990-12-31,35200000.0
1989-12-31,34490549.0
1988-12-31,33728498.0
1987-12-31,32933081.0
1986-12-31,32121290.0
1985-12-31,31307880.0
1984-12-31,30505361.0
1983-12-31,29724004.0
1982-12-31,28971839.0
1981-12-31,28254655.0
1980-12-31,27576000.0
1979-12-31,26940793.0
1978-12-31,26355319.0
1977-12-31,25805575.0
1976-12-31,25268094.0
1975-12-31,24728000.0
1974-12-31,24189837.0
1973-12-31,23655908.0
1972-12-31,23126276.0
1971-12-31,22602373.0
1970-12-31,22087000.0
1969-12-31,21612522.0
1968-12-31,21153722.0
1967-12-31,20707258.0
1966-12-31,20268594.0
1965-12-31,19832000.0
1964-12-31,19390554.0
1963-12-31,18936138.0
1962-12-31,18459442.0
1961-12-31,17949962.0
1960-12-31,17396000.0
