Date,Value
2013-12-31,14538640.0
2012-12-31,14075099.0
2011-12-31,13633796.0
2010-12-31,13216985.0
2009-12-31,12825031.0
2008-12-31,12456527.0
2007-12-31,12109620.0
2006-12-31,11781612.0
2005-12-31,11470022.0
2004-12-31,11174650.0
2003-12-31,10894519.0
2002-12-31,10625423.0
2001-12-31,10362137.0
2000-12-31,10100981.0
1999-12-31,9839179.0
1998-12-31,9577483.0
1997-12-31,9320089.0
1996-12-31,9073311.0
1995-12-31,8841338.0
1994-12-31,8625477.0
1993-12-31,8423058.0
1992-12-31,8229480.0
1991-12-31,8038236.0
1990-12-31,7844516.0
1989-12-31,7646911.0
1988-12-31,7446478.0
1987-12-31,7243918.0
1986-12-31,7040796.0
1985-12-31,6838392.0
1984-12-31,6636560.0
1983-12-31,6435110.0
1982-12-31,6235352.0
1981-12-31,6038971.0
1980-12-31,5847241.0
1979-12-31,5660893.0
1978-12-31,5479897.0
1977-12-31,5303836.0
1976-12-31,5131916.0
1975-12-31,4963655.0
1974-12-31,4798913.0
1973-12-31,4638227.0
1972-12-31,4482567.0
1971-12-31,4333234.0
1970-12-31,4191114.0
1969-12-31,4056584.0
1968-12-31,3929254.0
1967-12-31,3808277.0
1966-12-31,3692409.0
1965-12-31,3580708.0
1964-12-31,3472843.0
1963-12-31,3368961.0
1962-12-31,3269151.0
1961-12-31,3173662.0
1960-12-31,3082627.0
