Date,Value
2013-12-31,14149648.0
2012-12-31,13724317.0
2011-12-31,13358738.0
2010-12-31,13076978.0
2009-12-31,12888918.0
2008-12-31,12784041.0
2007-12-31,12740160.0
2006-12-31,12724308.0
2005-12-31,12710589.0
2004-12-31,12693047.0
2003-12-31,12673103.0
2002-12-31,12640922.0
2001-12-31,12586763.0
2000-12-31,12503652.0
1999-12-31,12384727.0
1998-12-31,12229500.0
1997-12-31,12045813.0
1996-12-31,11846110.0
1995-12-31,11639364.0
1994-12-31,11428655.0
1993-12-31,11210802.0
1992-12-31,10981267.0
1991-12-31,10733048.0
1990-12-31,10461782.0
1989-12-31,10167392.0
1988-12-31,9854098.0
1987-12-31,9527192.0
1986-12-31,9193889.0
1985-12-31,8860331.0
1984-12-31,8527836.0
1983-12-31,8197858.0
1982-12-31,7876786.0
1981-12-31,7572129.0
1980-12-31,7289069.0
1979-12-31,7031084.0
1978-12-31,6796863.0
1977-12-31,6580696.0
1976-12-31,6373946.0
1975-12-31,6170266.0
1974-12-31,5967819.0
1973-12-31,5768337.0
1972-12-31,5573282.0
1971-12-31,5385328.0
1970-12-31,5206305.0
1969-12-31,5036316.0
1968-12-31,4874109.0
1967-12-31,4718609.0
1966-12-31,4568317.0
1965-12-31,4422129.0
1964-12-31,4279559.0
1963-12-31,4140802.0
1962-12-31,4006261.0
1961-12-31,3876638.0
1960-12-31,3752390.0
