Date,Value
2013-12-31,30551674.0
2012-12-31,29824536.0
2011-12-31,29105480.0
2010-12-31,28397812.0
2009-12-31,27708187.0
2008-12-31,27032197.0
2007-12-31,26349243.0
2006-12-31,25631282.0
2005-12-31,24860855.0
2004-12-31,24018682.0
2003-12-31,23116142.0
2002-12-31,22202806.0
2001-12-31,21347782.0
2000-12-31,20595360.0
1999-12-31,19987071.0
1998-12-31,19496836.0
1997-12-31,19021226.0
1996-12-31,18415307.0
1995-12-31,17586073.0
1994-12-31,16485018.0
1993-12-31,15175325.0
1992-12-31,13811876.0
1991-12-31,12612043.0
1990-12-31,11731193.0
1989-12-31,11215323.0
1988-12-31,11013345.0
1987-12-31,11063107.0
1986-12-31,11262439.0
1985-12-31,11528977.0
1984-12-31,11854205.0
1983-12-31,12241928.0
1982-12-31,12634494.0
1981-12-31,12963788.0
1980-12-31,13180431.0
1979-12-31,13257128.0
1978-12-31,13199597.0
1977-12-31,13034460.0
1976-12-31,12806810.0
1975-12-31,12551790.0
1974-12-31,12273589.0
1973-12-31,11966352.0
1972-12-31,11644377.0
1971-12-31,11323446.0
1970-12-31,11015621.0
1969-12-31,10729191.0
1968-12-31,10465770.0
1967-12-31,10221902.0
1966-12-31,9990125.0
1965-12-31,9765015.0
1964-12-31,9547131.0
1963-12-31,9339507.0
1962-12-31,9141783.0
1961-12-31,8953544.0
1960-12-31,8774440.0
