Date,Value
2013-12-31,21471618.0
2012-12-31,20820525.0
2011-12-31,20180490.0
2010-12-31,19549124.0
2009-12-31,18926650.0
2008-12-31,18314441.0
2007-12-31,17712824.0
2006-12-31,17122409.0
2005-12-31,16544376.0
2004-12-31,15976715.0
2003-12-31,15421075.0
2002-12-31,14886574.0
2001-12-31,14385283.0
2000-12-31,13924930.0
1999-12-31,13510616.0
1998-12-31,13137542.0
1997-12-31,12791388.0
1996-12-31,12451945.0
1995-12-31,12104952.0
1994-12-31,11743432.0
1993-12-31,11372156.0
1992-12-31,11002758.0
1991-12-31,10652727.0
1990-12-31,10333844.0
1989-12-31,10051133.0
1988-12-31,9798055.0
1987-12-31,9561022.0
1986-12-31,9320678.0
1985-12-31,9063646.0
1984-12-31,8784753.0
1983-12-31,8489864.0
1982-12-31,8190093.0
1981-12-31,7901870.0
1980-12-31,7637141.0
1979-12-31,7399204.0
1978-12-31,7184444.0
1977-12-31,6989550.0
1976-12-31,6808733.0
1975-12-31,6637628.0
1974-12-31,6475333.0
1973-12-31,6323057.0
1972-12-31,6180863.0
1971-12-31,6049214.0
1970-12-31,5928087.0
1969-12-31,5817283.0
1968-12-31,5715372.0
1967-12-31,5619643.0
1966-12-31,5526653.0
1965-12-31,5433841.0
1964-12-31,5339893.0
1963-12-31,5245015.0
1962-12-31,5150076.0
1961-12-31,5056688.0
1960-12-31,4965988.0
