Date,Value
2013-12-31,2773620.0
2012-12-31,2801681.0
2011-12-31,2829337.0
2010-12-31,2856673.0
2009-12-31,2884303.0
2008-12-31,2912559.0
2007-12-31,2940880.0
2006-12-31,2968028.0
2005-12-31,2992724.0
2004-12-31,3014579.0
2003-12-31,3033659.0
2002-12-31,3051427.0
2001-12-31,3064111.0
2000-12-31,3089027.0
1999-12-31,3108778.0
1998-12-31,3128530.0
1997-12-31,3148281.0
1996-12-31,3168033.0
1995-12-31,3187784.0
1994-12-31,3207536.0
1993-12-31,3227287.0
1992-12-31,3247039.0
1991-12-31,3266790.0
1990-12-31,3286542.0
1989-12-31,3227943.0
1988-12-31,3142336.0
1987-12-31,3083605.0
1986-12-31,3022635.0
1985-12-31,2964762.0
1984-12-31,2904429.0
1983-12-31,2843960.0
1982-12-31,2784278.0
1981-12-31,2726056.0
1980-12-31,2671997.0
1979-12-31,2617832.0
1978-12-31,2566266.0
1977-12-31,2513546.0
1976-12-31,2458526.0
1975-12-31,2404831.0
1974-12-31,2350124.0
1973-12-31,2296752.0
1972-12-31,2243126.0
1971-12-31,2187853.0
1970-12-31,2135479.0
1969-12-31,2081695.0
1968-12-31,2022272.0
1967-12-31,1965598.0
1966-12-31,1914573.0
1965-12-31,1864791.0
1964-12-31,1814135.0
1963-12-31,1762621.0
1962-12-31,1711319.0
1961-12-31,1659800.0
1960-12-31,1608800.0
