Date,Value
2013-12-31,2976566.0
2012-12-31,2969081.0
2011-12-31,2964120.0
2010-12-31,2963496.0
2009-12-31,2968154.0
2008-12-31,2977488.0
2007-12-31,2989882.0
2006-12-31,3002911.0
2005-12-31,3014917.0
2004-12-31,3025652.0
2003-12-31,3036032.0
2002-12-31,3047002.0
2001-12-31,3059960.0
2000-12-31,3076098.0
1999-12-31,3093820.0
1998-12-31,3112958.0
1997-12-31,3137652.0
1996-12-31,3173425.0
1995-12-31,3223173.0
1994-12-31,3289943.0
1993-12-31,3369673.0
1992-12-31,3449497.0
1991-12-31,3511912.0
1990-12-31,3544695.0
1989-12-31,3542720.0
1988-12-31,3510439.0
1987-12-31,3457054.0
1986-12-31,3396511.0
1985-12-31,3339147.0
1984-12-31,3287588.0
1983-12-31,3239212.0
1982-12-31,3192877.0
1981-12-31,3145885.0
1980-12-31,3096298.0
1979-12-31,3044564.0
1978-12-31,2991954.0
1977-12-31,2938181.0
1976-12-31,2882831.0
1975-12-31,2825650.0
1974-12-31,2766495.0
1973-12-31,2705584.0
1972-12-31,2643464.0
1971-12-31,2580894.0
1970-12-31,2518408.0
1969-12-31,2456370.0
1968-12-31,2394635.0
1967-12-31,2332624.0
1966-12-31,2269475.0
1965-12-31,2204650.0
1964-12-31,2138133.0
1963-12-31,2070427.0
1962-12-31,2002170.0
1961-12-31,1934239.0
1960-12-31,1867396.0
