Date,Value
2013-12-31,89985.0
2012-12-31,89069.0
2011-12-31,88152.0
2010-12-31,87233.0
2009-12-31,86300.0
2008-12-31,85349.0
2007-12-31,84397.0
2006-12-31,83467.0
2005-12-31,82565.0
2004-12-31,81718.0
2003-12-31,80904.0
2002-12-31,80030.0
2001-12-31,78972.0
2000-12-31,77648.0
1999-12-31,76041.0
1998-12-31,74206.0
1997-12-31,72232.0
1996-12-31,70245.0
1995-12-31,68349.0
1994-12-31,66550.0
1993-12-31,64868.0
1992-12-31,63434.0
1991-12-31,62412.0
1990-12-31,61906.0
1989-12-31,61967.0
1988-12-31,62538.0
1987-12-31,63484.0
1986-12-31,64605.0
1985-12-31,65744.0
1984-12-31,66863.0
1983-12-31,67958.0
1982-12-31,68950.0
1981-12-31,69750.0
1980-12-31,70301.0
1979-12-31,70553.0
1978-12-31,70508.0
1977-12-31,70223.0
1976-12-31,69782.0
1975-12-31,69253.0
1974-12-31,68655.0
1973-12-31,67972.0
1972-12-31,67205.0
1971-12-31,66338.0
1970-12-31,65369.0
1969-12-31,64307.0
1968-12-31,63176.0
1967-12-31,62002.0
1966-12-31,60818.0
1965-12-31,59653.0
1964-12-31,58500.0
1963-12-31,57368.0
1962-12-31,56311.0
1961-12-31,55403.0
1960-12-31,54681.0
