Date,Value
2013-12-31,8473786.0
2012-12-31,8429991.0
2011-12-31,8406187.0
2010-12-31,8389771.0
2009-12-31,8365275.0
2008-12-31,8336926.0
2007-12-31,8300788.0
2006-12-31,8268641.0
2005-12-31,8227829.0
2004-12-31,8171966.0
2003-12-31,8121423.0
2002-12-31,8081957.0
2001-12-31,8042293.0
2000-12-31,8011566.0
1999-12-31,7992324.0
1998-12-31,7976789.0
1997-12-31,7968041.0
1996-12-31,7959017.0
1995-12-31,7948278.0
1994-12-31,7936118.0
1993-12-31,7905633.0
1992-12-31,7840709.0
1991-12-31,7754891.0
1990-12-31,7677850.0
1989-12-31,7619567.0
1988-12-31,7585317.0
1987-12-31,7574586.0
1986-12-31,7569794.0
1985-12-31,7564985.0
1984-12-31,7561434.0
1983-12-31,7561910.0
1982-12-31,7574140.0
1981-12-31,7568710.0
1980-12-31,7549433.0
1979-12-31,7549425.0
1978-12-31,7562305.0
1977-12-31,7568430.0
1976-12-31,7565525.0
1975-12-31,7578903.0
1974-12-31,7599038.0
1973-12-31,7586115.0
1972-12-31,7544201.0
1971-12-31,7500482.0
1970-12-31,7467086.0
1969-12-31,7441055.0
1968-12-31,7415403.0
1967-12-31,7376998.0
1966-12-31,7322066.0
1965-12-31,7270889.0
1964-12-31,7223801.0
1963-12-31,7175811.0
1962-12-31,7129864.0
1961-12-31,7086299.0
1960-12-31,7047539.0
