Date,Value
2012-12-31,9295784.0
2011-12-31,9173082.0
2010-12-31,9054332.0
2009-12-31,8947243.0
2008-12-31,8763400.0
2007-12-31,8581300.0
2006-12-31,8484550.0
2005-12-31,8391850.0
2004-12-31,8306500.0
2003-12-31,8234100.0
2002-12-31,8171950.0
2001-12-31,8111200.0
2000-12-31,8048600.0
1999-12-31,7982750.0
1998-12-31,7913000.0
1997-12-31,7838250.0
1996-12-31,7763000.0
1995-12-31,7685000.0
1994-12-31,7597000.0
1993-12-31,7495000.0
1992-12-31,7382000.0
1991-12-31,7271000.0
1990-12-31,7159000.0
1989-12-31,7104058.0
1988-12-31,6994139.0
1987-12-31,6886428.0
1986-12-31,6779970.0
1985-12-31,6674107.0
1984-12-31,6568857.0
1983-12-31,6464775.0
1982-12-31,6362289.0
1981-12-31,6261942.0
1980-12-31,6163990.0
1979-12-31,6068531.0
1978-12-31,5975045.0
1977-12-31,5882395.0
1976-12-31,5789050.0
1975-12-31,5693796.0
1974-12-31,5596160.0
1973-12-31,5496061.0
1972-12-31,5393176.0
1971-12-31,5287272.0
1970-12-31,5178160.0
1969-12-31,5066080.0
1968-12-31,4950977.0
1967-12-31,4832098.0
1966-12-31,4708485.0
1965-12-31,4579759.0
1964-12-31,4445653.0
1963-12-31,4307315.0
1962-12-31,4167558.0
1961-12-31,4030130.0
1960-12-31,3897889.0
