Date,Value
2013-12-31,10162532.0
2012-12-31,9849569.0
2011-12-31,9540362.0
2010-12-31,9232753.0
2009-12-31,8926687.0
2008-12-31,8624280.0
2007-12-31,8328312.0
2006-12-31,8042579.0
2005-12-31,7770392.0
2004-12-31,7510771.0
2003-12-31,7264340.0
2002-12-31,7037727.0
2001-12-31,6839376.0
2000-12-31,6674286.0
1999-12-31,6545273.0
1998-12-31,6447672.0
1997-12-31,6369573.0
1996-12-31,6294482.0
1995-12-31,6209923.0
1994-12-31,6112449.0
1993-12-31,6003704.0
1992-12-31,5882679.0
1991-12-31,5749774.0
1990-12-31,5605873.0
1989-12-31,5449339.0
1988-12-31,5280833.0
1987-12-31,5106707.0
1986-12-31,4935642.0
1985-12-31,4774155.0
1984-12-31,4624850.0
1983-12-31,4486938.0
1982-12-31,4359379.0
1981-12-31,4239795.0
1980-12-31,4126538.0
1979-12-31,4018846.0
1978-12-31,3917774.0
1977-12-31,3825426.0
1976-12-31,3744678.0
1975-12-31,3676991.0
1974-12-31,3623852.0
1973-12-31,3582950.0
1972-12-31,3547335.0
1971-12-31,3507593.0
1970-12-31,3457113.0
1969-12-31,3392949.0
1968-12-31,3317315.0
1967-12-31,3235125.0
1966-12-31,3153879.0
1965-12-31,3079034.0
1964-12-31,3011957.0
1963-12-31,2950903.0
1962-12-31,2894510.0
1961-12-31,2840375.0
1960-12-31,2786740.0
