Date,Value
2013-12-31,11195138.0
2012-12-31,11128246.0
2011-12-31,11047744.0
2010-12-31,10920272.0
2009-12-31,10796493.0
2008-12-31,10709973.0
2007-12-31,10625700.0
2006-12-31,10547958.0
2005-12-31,10478617.0
2004-12-31,10421137.0
2003-12-31,10376133.0
2002-12-31,10332785.0
2001-12-31,10286570.0
2000-12-31,10251250.0
1999-12-31,10226419.0
1998-12-31,10203008.0
1997-12-31,10181245.0
1996-12-31,10156637.0
1995-12-31,10136811.0
1994-12-31,10115603.0
1993-12-31,10084475.0
1992-12-31,10045158.0
1991-12-31,10004486.0
1990-12-31,9967379.0
1989-12-31,9937697.0
1988-12-31,9901664.0
1987-12-31,9870234.0
1986-12-31,9861823.0
1985-12-31,9858308.0
1984-12-31,9855372.0
1983-12-31,9855520.0
1982-12-31,9856303.0
1981-12-31,9858982.0
1980-12-31,9859242.0
1979-12-31,9848382.0
1978-12-31,9839534.0
1977-12-31,9830358.0
1976-12-31,9818227.0
1975-12-31,9800700.0
1974-12-31,9772419.0
1973-12-31,9741720.0
1972-12-31,9711115.0
1971-12-31,9673162.0
1970-12-31,9655549.0
1969-12-31,9646032.0
1968-12-31,9618756.0
1967-12-31,9580991.0
1966-12-31,9527807.0
1965-12-31,9463667.0
1964-12-31,9378113.0
1963-12-31,9289770.0
1962-12-31,9220578.0
1961-12-31,9183948.0
1960-12-31,9153489.0
