Date,Value
2013-12-31,16934839.0
2012-12-31,16460141.0
2011-12-31,15995313.0
2010-12-31,15540284.0
2009-12-31,15094967.0
2008-12-31,14659646.0
2007-12-31,14235075.0
2006-12-31,13822257.0
2005-12-31,13421929.0
2004-12-31,13034258.0
2003-12-31,12659086.0
2002-12-31,12296399.0
2001-12-31,11946080.0
2000-12-31,11607944.0
1999-12-31,11281942.0
1998-12-31,10967836.0
1997-12-31,10664982.0
1996-12-31,10372562.0
1995-12-31,10089876.0
1994-12-31,9816586.0
1993-12-31,9552473.0
1992-12-31,9297116.0
1991-12-31,9050090.0
1990-12-31,8811033.0
1989-12-31,8579825.0
1988-12-31,8356306.0
1987-12-31,8140076.0
1986-12-31,7930690.0
1985-12-31,7727912.0
1984-12-31,7531244.0
1983-12-31,7340907.0
1982-12-31,7158256.0
1981-12-31,6985158.0
1980-12-31,6822840.0
1979-12-31,6671659.0
1978-12-31,6530820.0
1977-12-31,6398937.0
1976-12-31,6274037.0
1975-12-31,6154548.0
1974-12-31,6040044.0
1973-12-31,5930487.0
1972-12-31,5825171.0
1971-12-31,5723379.0
1970-12-31,5624597.0
1969-12-31,5528172.0
1968-12-31,5434040.0
1967-12-31,5343020.0
1966-12-31,5256363.0
1965-12-31,5174869.0
1964-12-31,5098892.0
1963-12-31,5027818.0
1962-12-31,4960325.0
1961-12-31,4894578.0
1960-12-31,4829291.0
