Date,Value
2013-12-31,156594962.0
2012-12-31,154695368.0
2011-12-31,152862431.0
2010-12-31,151125475.0
2009-12-31,149503100.0
2008-12-31,147969967.0
2007-12-31,146457067.0
2006-12-31,144868702.0
2005-12-31,143135180.0
2004-12-31,141235035.0
2003-12-31,139185986.0
2002-12-31,137006279.0
2001-12-31,134729503.0
2000-12-31,132383265.0
1999-12-31,129966823.0
1998-12-31,127478524.0
1997-12-31,124945315.0
1996-12-31,122400896.0
1995-12-31,119869585.0
1994-12-31,117369492.0
1993-12-31,114897543.0
1992-12-31,112430968.0
1991-12-31,109934590.0
1990-12-31,107385847.0
1989-12-31,104779345.0
1988-12-31,102133217.0
1987-12-31,99476987.0
1986-12-31,96851505.0
1985-12-31,94287722.0
1984-12-31,91804318.0
1983-12-31,89399666.0
1982-12-31,87060582.0
1981-12-31,84764142.0
1980-12-31,82498440.0
1979-12-31,80241773.0
1978-12-31,78011624.0
1977-12-31,75880084.0
1976-12-31,73944664.0
1975-12-31,72265173.0
1974-12-31,70883201.0
1973-12-31,69751017.0
1972-12-31,68730070.0
1971-12-31,67627868.0
1970-12-31,66308862.0
1969-12-31,64719958.0
1968-12-31,62909226.0
1967-12-31,60966588.0
1966-12-31,59029826.0
1965-12-31,57200412.0
1964-12-31,55503132.0
1963-12-31,53909233.0
1962-12-31,52403243.0
1961-12-31,50953503.0
1960-12-31,49537147.0
