Date,Value
2013-12-31,1332171.0
2012-12-31,1317827.0
2011-12-31,1292764.0
2010-12-31,1251513.0
2009-12-31,1191539.0
2008-12-31,1116038.0
2007-12-31,1032353.0
2006-12-31,950951.0
2005-12-31,879534.0
2004-12-31,820505.0
2003-12-31,772058.0
2002-12-31,732541.0
2001-12-31,698749.0
2000-12-31,668239.0
1999-12-31,640913.0
1998-12-31,617537.0
1997-12-31,597400.0
1996-12-31,579697.0
1995-12-31,563730.0
1994-12-31,549170.0
1993-12-31,535711.0
1992-12-31,522751.0
1991-12-31,509645.0
1990-12-31,495944.0
1989-12-31,481142.0
1988-12-31,465254.0
1987-12-31,449006.0
1986-12-31,433491.0
1985-12-31,419425.0
1984-12-31,407223.0
1983-12-31,396447.0
1982-12-31,385950.0
1981-12-31,374125.0
1980-12-31,359902.0
1979-12-31,342829.0
1978-12-31,323511.0
1977-12-31,303236.0
1976-12-31,283843.0
1975-12-31,266686.0
1974-12-31,252139.0
1973-12-31,239860.0
1972-12-31,229588.0
1971-12-31,220808.0
1970-12-31,213102.0
1969-12-31,206469.0
1968-12-31,200953.0
1967-12-31,196203.0
1966-12-31,191782.0
1965-12-31,187348.0
1964-12-31,182774.0
1963-12-31,178048.0
1962-12-31,173107.0
1961-12-31,167924.0
1960-12-31,162501.0
