Date,Value
2013-12-31,377374.0
2012-12-31,371960.0
2011-12-31,366331.0
2010-12-31,360498.0
2009-12-31,354492.0
2008-12-31,348340.0
2007-12-31,342049.0
2006-12-31,335622.0
2005-12-31,329088.0
2004-12-31,322400.0
2003-12-31,315624.0
2002-12-31,309039.0
2001-12-31,303005.0
2000-12-31,297759.0
1999-12-31,293442.0
1998-12-31,289926.0
1997-12-31,286845.0
1996-12-31,283678.0
1995-12-31,280050.0
1994-12-31,275820.0
1993-12-31,271105.0
1992-12-31,266097.0
1991-12-31,261102.0
1990-12-31,256338.0
1989-12-31,251863.0
1988-12-31,247585.0
1987-12-31,243397.0
1986-12-31,239135.0
1985-12-31,234684.0
1984-12-31,230014.0
1983-12-31,225184.0
1982-12-31,220274.0
1981-12-31,215404.0
1980-12-31,210660.0
1979-12-31,206038.0
1978-12-31,201511.0
1977-12-31,197118.0
1976-12-31,192905.0
1975-12-31,188882.0
1974-12-31,185097.0
1973-12-31,181489.0
1972-12-31,177844.0
1971-12-31,173867.0
1970-12-31,169356.0
1969-12-31,164250.0
1968-12-31,158629.0
1967-12-31,152607.0
1966-12-31,146364.0
1965-12-31,140049.0
1964-12-31,133697.0
1963-12-31,127331.0
1962-12-31,121083.0
1961-12-31,115108.0
1960-12-31,109526.0
