Date,Value
2012-12-31,9464000.0
2011-12-31,9473000.0
2010-12-31,9490000.0
2009-12-31,9507000.0
2008-12-31,9528000.0
2007-12-31,9560000.0
2006-12-31,9604000.0
2005-12-31,9663000.0
2004-12-31,9730000.0
2003-12-31,9797000.0
2002-12-31,9865000.0
2001-12-31,9928000.0
2000-12-31,10005000.0
1999-12-31,10035000.0
1998-12-31,10069000.0
1997-12-31,10117000.0
1996-12-31,10160000.0
1995-12-31,10194000.0
1994-12-31,10227000.0
1993-12-31,10239000.0
1992-12-31,10216000.0
1991-12-31,10194000.0
1990-12-31,10189000.0
1989-12-31,10170000.0
1988-12-31,10140000.0
1987-12-31,10111000.0
1986-12-31,10043000.0
1985-12-31,9975000.0
1984-12-31,9910000.0
1983-12-31,9843000.0
1982-12-31,9776000.0
1981-12-31,9710000.0
1980-12-31,9643000.0
1979-12-31,9584000.0
1978-12-31,9525000.0
1977-12-31,9463000.0
1976-12-31,9411000.0
1975-12-31,9367000.0
1974-12-31,9317584.0
1973-12-31,9257272.0
1972-12-31,9188968.0
1971-12-31,9115576.0
1970-12-31,9040000.0
1969-12-31,8960304.0
1968-12-31,8874552.0
1967-12-31,8785648.0
1966-12-31,8696496.0
1965-12-31,8610000.0
1964-12-31,8524224.0
1963-12-31,8437232.0
1962-12-31,8351928.0
1961-12-31,8271216.0
1960-12-31,8198000.0
