Date,Value
2013-12-31,200361925.0
2012-12-31,198656019.0
2011-12-31,196935134.0
2010-12-31,195210154.0
2009-12-31,193490922.0
2008-12-31,191765567.0
2007-12-31,189996976.0
2006-12-31,188134315.0
2005-12-31,186142403.0
2004-12-31,184010283.0
2003-12-31,181752951.0
2002-12-31,179393768.0
2001-12-31,176968205.0
2000-12-31,174504898.0
1999-12-31,172006362.0
1998-12-31,169472347.0
1997-12-31,166925457.0
1996-12-31,164392423.0
1995-12-31,161890816.0
1994-12-31,159432909.0
1993-12-31,157011131.0
1992-12-31,154597985.0
1991-12-31,152153539.0
1990-12-31,149648341.0
1989-12-31,147078659.0
1988-12-31,144452622.0
1987-12-31,141767626.0
1986-12-31,139023394.0
1985-12-31,136223043.0
1984-12-31,133364277.0
1983-12-31,130455659.0
1982-12-31,127525420.0
1981-12-31,124610790.0
1980-12-31,121740438.0
1979-12-31,118924135.0
1978-12-31,116160978.0
1977-12-31,113455308.0
1976-12-31,110808302.0
1975-12-31,108219657.0
1974-12-31,105693434.0
1973-12-31,103228641.0
1972-12-31,100812672.0
1971-12-31,98427874.0
1970-12-31,96060361.0
1969-12-31,93709914.0
1968-12-31,91377490.0
1967-12-31,89052356.0
1966-12-31,86721875.0
1965-12-31,84379369.0
1964-12-31,82017016.0
1963-12-31,79643017.0
1962-12-31,77286629.0
1961-12-31,74988037.0
1960-12-31,72775883.0
