Date,Value
2013-12-31,284644.0
2012-12-31,283221.0
2011-12-31,281804.0
2010-12-31,280396.0
2009-12-31,279006.0
2008-12-31,277634.0
2007-12-31,276277.0
2006-12-31,274923.0
2005-12-31,273568.0
2004-12-31,272205.0
2003-12-31,270844.0
2002-12-31,269524.0
2001-12-31,268296.0
2000-12-31,267190.0
1999-12-31,266220.0
1998-12-31,265370.0
1997-12-31,264606.0
1996-12-31,263884.0
1995-12-31,263165.0
1994-12-31,262441.0
1993-12-31,261714.0
1992-12-31,260963.0
1991-12-31,260175.0
1990-12-31,259336.0
1989-12-31,258443.0
1988-12-31,257497.0
1987-12-31,256500.0
1986-12-31,255450.0
1985-12-31,254354.0
1984-12-31,253193.0
1983-12-31,251979.0
1982-12-31,250780.0
1981-12-31,249696.0
1980-12-31,248784.0
1979-12-31,248095.0
1978-12-31,247592.0
1977-12-31,247136.0
1976-12-31,246536.0
1975-12-31,245663.0
1974-12-31,244453.0
1973-12-31,242971.0
1972-12-31,241367.0
1971-12-31,239864.0
1970-12-31,238616.0
1969-12-31,237680.0
1968-12-31,236997.0
1967-12-31,236466.0
1966-12-31,235936.0
1965-12-31,235294.0
1964-12-31,234478.0
1963-12-31,233520.0
1962-12-31,232514.0
1961-12-31,231599.0
1960-12-31,230858.0
