Date,Value
2013-12-31,2021144.0
2012-12-31,2003910.0
2011-12-31,1986701.0
2010-12-31,1969341.0
2009-12-31,1951715.0
2008-12-31,1933719.0
2007-12-31,1915187.0
2006-12-31,1895944.0
2005-12-31,1875805.0
2004-12-31,1854739.0
2003-12-31,1832602.0
2002-12-31,1808976.0
2001-12-31,1783349.0
2000-12-31,1755375.0
1999-12-31,1724924.0
1998-12-31,1692148.0
1997-12-31,1657349.0
1996-12-31,1620989.0
1995-12-31,1583453.0
1994-12-31,1544865.0
1993-12-31,1505303.0
1992-12-31,1465072.0
1991-12-31,1424513.0
1990-12-31,1383912.0
1989-12-31,1343440.0
1988-12-31,1303192.0
1987-12-31,1263269.0
1986-12-31,1223738.0
1985-12-31,1184657.0
1984-12-31,1146205.0
1983-12-31,1108461.0
1982-12-31,1071254.0
1981-12-31,1034324.0
1980-12-31,997534.0
1979-12-31,960807.0
1978-12-31,924373.0
1977-12-31,888776.0
1976-12-31,854746.0
1975-12-31,822806.0
1974-12-31,793164.0
1973-12-31,765685.0
1972-12-31,740118.0
1971-12-31,716052.0
1970-12-31,693176.0
1969-12-31,671416.0
1968-12-31,650835.0
1967-12-31,631398.0
1966-12-31,613097.0
1965-12-31,595904.0
1964-12-31,579729.0
1963-12-31,564484.0
1962-12-31,550152.0
1961-12-31,536728.0
1960-12-31,524173.0
