Date,Value
2013-12-31,1357380000.0
2012-12-31,1350695000.0
2011-12-31,1344130000.0
2010-12-31,1337705000.0
2009-12-31,1331260000.0
2008-12-31,1324655000.0
2007-12-31,1317885000.0
2006-12-31,1311020000.0
2005-12-31,1303720000.0
2004-12-31,1296075000.0
2003-12-31,1288400000.0
2002-12-31,1280400000.0
2001-12-31,1271850000.0
2000-12-31,1262645000.0
1999-12-31,1252735000.0
1998-12-31,1241935000.0
1997-12-31,1230075000.0
1996-12-31,1217550000.0
1995-12-31,1204855000.0
1994-12-31,1191835000.0
1993-12-31,1178440000.0
1992-12-31,1164970000.0
1991-12-31,1150780000.0
1990-12-31,1135185000.0
1989-12-31,1118650000.0
1988-12-31,1101630000.0
1987-12-31,1084035000.0
1986-12-31,1066790000.0
1985-12-31,1051040000.0
1984-12-31,1036825000.0
1983-12-31,1023310000.0
1982-12-31,1008630000.0
1981-12-31,993885000.0
1980-12-31,981235000.0
1979-12-31,969005000.0
1978-12-31,956165000.0
1977-12-31,943455000.0
1976-12-31,930685000.0
1975-12-31,916395000.0
1974-12-31,900350000.0
1973-12-31,881940000.0
1972-12-31,862030000.0
1971-12-31,841105000.0
1970-12-31,818315000.0
1969-12-31,796025000.0
1968-12-31,774510000.0
1967-12-31,754550000.0
1966-12-31,735400000.0
1965-12-31,715185000.0
1964-12-31,698355000.0
1963-12-31,682335000.0
1962-12-31,665770000.0
1961-12-31,660330000.0
1960-12-31,667070000.0
