Date,Value
2013-12-31,20316086.0
2012-12-31,19839750.0
2011-12-31,19389954.0
2010-12-31,18976588.0
2009-12-31,18601342.0
2008-12-31,18260044.0
2007-12-31,17949061.0
2006-12-31,17662417.0
2005-12-31,17393994.0
2004-12-31,17144325.0
2003-12-31,16909801.0
2002-12-31,16674987.0
2001-12-31,16420173.0
2000-12-31,16131332.0
1999-12-31,15802248.0
1998-12-31,15436470.0
1997-12-31,15042149.0
1996-12-31,14632391.0
1995-12-31,14217430.0
1994-12-31,13798862.0
1993-12-31,13375363.0
1992-12-31,12950995.0
1991-12-31,12530078.0
1990-12-31,12115806.0
1989-12-31,11711125.0
1988-12-31,11316361.0
1987-12-31,10928719.0
1986-12-31,10543628.0
1985-12-31,10158033.0
1984-12-31,9771533.0
1983-12-31,9386245.0
1982-12-31,9004637.0
1981-12-31,8630174.0
1980-12-31,8265549.0
1979-12-31,7911804.0
1978-12-31,7568872.0
1977-12-31,7237015.0
1976-12-31,6916167.0
1975-12-31,6606395.0
1974-12-31,6307936.0
1973-12-31,6021405.0
1972-12-31,5747633.0
1971-12-31,5487594.0
1970-12-31,5241914.0
1969-12-31,5010962.0
1968-12-31,4794399.0
1967-12-31,4591238.0
1966-12-31,4400054.0
1965-12-31,4219739.0
1964-12-31,4049675.0
1963-12-31,3889859.0
1962-12-31,3740503.0
1961-12-31,3602075.0
1960-12-31,3474724.0
