Date,Value
2013-12-31,67513677.0
2012-12-31,65705093.0
2011-12-31,63931512.0
2010-12-31,62191161.0
2009-12-31,60486276.0
2008-12-31,58819038.0
2007-12-31,57187942.0
2006-12-31,55590838.0
2005-12-31,54028003.0
2004-12-31,52487293.0
2003-12-31,50972323.0
2002-12-31,49516960.0
2001-12-31,48167045.0
2000-12-31,46949244.0
1999-12-31,45889100.0
1998-12-31,44960941.0
1997-12-31,44078397.0
1996-12-31,43122601.0
1995-12-31,42012524.0
1994-12-31,40711816.0
1993-12-31,39257294.0
1992-12-31,37731020.0
1991-12-31,36253025.0
1990-12-31,34910591.0
1989-12-31,33727905.0
1988-12-31,32679158.0
1987-12-31,31740965.0
1986-12-31,30871855.0
1985-12-31,30039873.0
1984-12-31,29243529.0
1983-12-31,28490510.0
1982-12-31,27767775.0
1981-12-31,27060353.0
1980-12-31,26357407.0
1979-12-31,25650884.0
1978-12-31,24941431.0
1977-12-31,24238011.0
1976-12-31,23554958.0
1975-12-31,22902275.0
1974-12-31,22282713.0
1973-12-31,21691346.0
1972-12-31,21121467.0
1971-12-31,20563258.0
1970-12-31,20009902.0
1969-12-31,19458874.0
1968-12-31,18913177.0
1967-12-31,18378189.0
1966-12-31,17861860.0
1965-12-31,17369859.0
1964-12-31,16903899.0
1963-12-31,16461914.0
1962-12-31,16041247.0
1961-12-31,15637715.0
1960-12-31,15248246.0
