Date,Value
2013-12-31,48321405.0
2012-12-31,47704427.0
2011-12-31,47078792.0
2010-12-31,46444798.0
2009-12-31,45802561.0
2008-12-31,45153037.0
2007-12-31,44498390.0
2006-12-31,43841370.0
2005-12-31,43184026.0
2004-12-31,42527623.0
2003-12-31,41872051.0
2002-12-31,41216304.0
2001-12-31,40558648.0
2000-12-31,39897984.0
1999-12-31,39234115.0
1998-12-31,38568056.0
1997-12-31,37901358.0
1996-12-31,37236124.0
1995-12-31,36573895.0
1994-12-31,35915434.0
1993-12-31,35260456.0
1992-12-31,34608171.0
1991-12-31,33957286.0
1990-12-31,33306941.0
1989-12-31,32657292.0
1988-12-31,32009024.0
1987-12-31,31362479.0
1986-12-31,30718127.0
1985-12-31,30076525.0
1984-12-31,29438030.0
1983-12-31,28803276.0
1982-12-31,28173493.0
1981-12-31,27550172.0
1980-12-31,26934591.0
1979-12-31,26326236.0
1978-12-31,25725336.0
1977-12-31,25134640.0
1976-12-31,24557647.0
1975-12-31,23996249.0
1974-12-31,23452703.0
1973-12-31,22924755.0
1972-12-31,22404289.0
1971-12-31,21880185.0
1970-12-31,21344781.0
1969-12-31,20795270.0
1968-12-31,20234946.0
1967-12-31,19669838.0
1966-12-31,19108959.0
1965-12-31,18559236.0
1964-12-31,18022435.0
1963-12-31,17497712.0
1962-12-31,16986307.0
1961-12-31,16488996.0
1960-12-31,16006395.0
