Date,Value
2013-12-31,4872166.0
2012-12-31,4805295.0
2011-12-31,4737680.0
2010-12-31,4669685.0
2009-12-31,4601424.0
2008-12-31,4532711.0
2007-12-31,4463226.0
2006-12-31,4392493.0
2005-12-31,4320130.0
2004-12-31,4246336.0
2003-12-31,4171145.0
2002-12-31,4093840.0
2001-12-31,4013488.0
2000-12-31,3929588.0
1999-12-31,3841734.0
1998-12-31,3750585.0
1997-12-31,3658020.0
1996-12-31,3566605.0
1995-12-31,3478197.0
1994-12-31,3393575.0
1993-12-31,3312307.0
1992-12-31,3233568.0
1991-12-31,3155979.0
1990-12-31,3078551.0
1989-12-31,3001196.0
1988-12-31,2924348.0
1987-12-31,2848141.0
1986-12-31,2772823.0
1985-12-31,2698616.0
1984-12-31,2625561.0
1983-12-31,2553714.0
1982-12-31,2483355.0
1981-12-31,2414832.0
1980-12-31,2348427.0
1979-12-31,2284076.0
1978-12-31,2221800.0
1977-12-31,2162047.0
1976-12-31,2105377.0
1975-12-31,2052076.0
1974-12-31,2002358.0
1973-12-31,1955790.0
1972-12-31,1911212.0
1971-12-31,1867044.0
1970-12-31,1822106.0
1969-12-31,1776076.0
1968-12-31,1729135.0
1967-12-31,1681241.0
1966-12-31,1632500.0
1965-12-31,1583078.0
1964-12-31,1532828.0
1963-12-31,1481890.0
1962-12-31,1431088.0
1961-12-31,1381532.0
1960-12-31,1334044.0
