Date,Value
2013-12-31,11265629.0
2012-12-31,11270957.0
2011-12-31,11276053.0
2010-12-31,11281768.0
2009-12-31,11288826.0
2008-12-31,11296355.0
2007-12-31,11301674.0
2006-12-31,11301100.0
2005-12-31,11292078.0
2004-12-31,11273363.0
2003-12-31,11245926.0
2002-12-31,11212125.0
2001-12-31,11175465.0
2000-12-31,11138416.0
1999-12-31,11101580.0
1998-12-31,11063917.0
1997-12-31,11024249.0
1996-12-31,10980758.0
1995-12-31,10932013.0
1994-12-31,10878823.0
1993-12-31,10821551.0
1992-12-31,10757891.0
1991-12-31,10684831.0
1990-12-31,10600841.0
1989-12-31,10503898.0
1988-12-31,10396268.0
1987-12-31,10285920.0
1986-12-31,10183690.0
1985-12-31,10097020.0
1984-12-31,10028578.0
1983-12-31,9975082.0
1982-12-31,9930589.0
1981-12-31,9886228.0
1980-12-31,9835085.0
1979-12-31,9776117.0
1978-12-31,9710009.0
1977-12-31,9633669.0
1976-12-31,9543798.0
1975-12-31,9438366.0
1974-12-31,9315458.0
1973-12-31,9176167.0
1972-12-31,9025344.0
1971-12-31,8869924.0
1970-12-31,8715054.0
1969-12-31,8563130.0
1968-12-31,8413282.0
1967-12-31,8263513.0
1966-12-31,8110405.0
1965-12-31,7951916.0
1964-12-31,7787144.0
1963-12-31,7618358.0
1962-12-31,7450405.0
1961-12-31,7289830.0
1960-12-31,7141130.0
