Date,Value
2013-12-31,10521468.0
2012-12-31,10510785.0
2011-12-31,10496088.0
2010-12-31,10474410.0
2009-12-31,10443936.0
2008-12-31,10384603.0
2007-12-31,10298828.0
2006-12-31,10238905.0
2005-12-31,10211216.0
2004-12-31,10197101.0
2003-12-31,10193998.0
2002-12-31,10196916.0
2001-12-31,10216605.0
2000-12-31,10255063.0
1999-12-31,10283860.0
1998-12-31,10294373.0
1997-12-31,10304131.0
1996-12-31,10315241.0
1995-12-31,10327253.0
1994-12-31,10333587.0
1993-12-31,10329855.0
1992-12-31,10319123.0
1991-12-31,10308578.0
1990-12-31,10333355.0
1989-12-31,10361068.0
1988-12-31,10355276.0
1987-12-31,10347318.0
1986-12-31,10342227.0
1985-12-31,10337118.0
1984-12-31,10330213.0
1983-12-31,10323856.0
1982-12-31,10314826.0
1981-12-31,10300591.0
1980-12-31,10304193.0
1979-12-31,10292341.0
1978-12-31,10242098.0
1977-12-31,10186755.0
1976-12-31,10125939.0
1975-12-31,10058620.0
1974-12-31,9988459.0
1973-12-31,9922266.0
1972-12-31,9867632.0
1971-12-31,9826815.0
1970-12-31,9858071.0
1969-12-31,9896580.0
1968-12-31,9876346.0
1967-12-31,9852899.0
1966-12-31,9821040.0
1965-12-31,9779358.0
1964-12-31,9727804.0
1963-12-31,9670685.0
1962-12-31,9624660.0
1961-12-31,9586651.0
1960-12-31,9602006.0
