Date,Value
2013-12-31,72003.0
2012-12-31,71684.0
2011-12-31,71401.0
2010-12-31,71167.0
2009-12-31,70996.0
2008-12-31,70883.0
2007-12-31,70795.0
2006-12-31,70690.0
2005-12-31,70542.0
2004-12-31,70325.0
2003-12-31,70058.0
2002-12-31,69806.0
2001-12-31,69660.0
2000-12-31,69679.0
1999-12-31,69902.0
1998-12-31,70295.0
1997-12-31,70756.0
1996-12-31,71146.0
1995-12-31,71367.0
1994-12-31,71372.0
1993-12-31,71205.0
1992-12-31,70978.0
1991-12-31,70849.0
1990-12-31,70928.0
1989-12-31,71242.0
1988-12-31,71743.0
1987-12-31,72368.0
1986-12-31,73025.0
1985-12-31,73640.0
1984-12-31,74215.0
1983-12-31,74750.0
1982-12-31,75168.0
1981-12-31,75376.0
1980-12-31,75313.0
1979-12-31,74923.0
1978-12-31,74239.0
1977-12-31,73411.0
1976-12-31,72648.0
1975-12-31,72091.0
1974-12-31,71811.0
1973-12-31,71745.0
1972-12-31,71737.0
1971-12-31,71566.0
1970-12-31,71076.0
1969-12-31,70212.0
1968-12-31,69042.0
1967-12-31,67682.0
1966-12-31,66305.0
1965-12-31,65038.0
1964-12-31,63921.0
1963-12-31,62920.0
1962-12-31,61984.0
1961-12-31,61035.0
1960-12-31,60016.0
