Date,Value
2013-12-31,10403761.0
2012-12-31,10276621.0
2011-12-31,10147598.0
2010-12-31,10016797.0
2009-12-31,9884265.0
2008-12-31,9750195.0
2007-12-31,9615015.0
2006-12-31,9479269.0
2005-12-31,9343362.0
2004-12-31,9207389.0
2003-12-31,9071318.0
2002-12-31,8935261.0
2001-12-31,8799298.0
2000-12-31,8663421.0
1999-12-31,8527881.0
1998-12-31,8392534.0
1997-12-31,8256496.0
1996-12-31,8118570.0
1995-12-31,7977966.0
1994-12-31,7834359.0
1993-12-31,7688196.0
1992-12-31,7540421.0
1991-12-31,7392389.0
1990-12-31,7245127.0
1989-12-31,7099011.0
1988-12-31,6953918.0
1987-12-31,6809797.0
1986-12-31,6666429.0
1985-12-31,6523696.0
1984-12-31,6381602.0
1983-12-31,6240380.0
1982-12-31,6100385.0
1981-12-31,5962066.0
1980-12-31,5825715.0
1979-12-31,5691517.0
1978-12-31,5559298.0
1977-12-31,5428547.0
1976-12-31,5298530.0
1975-12-31,5168720.0
1974-12-31,5038976.0
1973-12-31,4909454.0
1972-12-31,4780283.0
1971-12-31,4651703.0
1970-12-31,4523917.0
1969-12-31,4397027.0
1968-12-31,4271065.0
1967-12-31,4146104.0
1966-12-31,4022212.0
1965-12-31,3899504.0
1964-12-31,3778110.0
1963-12-31,3658264.0
1962-12-31,3540319.0
1961-12-31,3424702.0
1960-12-31,3311788.0
