Date,Value
2012-12-31,15492264.0
2011-12-31,15246481.0
2010-12-31,15001072.0
2009-12-31,14756424.0
2008-12-31,14512402.0
2007-12-31,14268397.0
2006-12-31,14023503.0
2005-12-31,13777131.0
2004-12-31,13529091.0
2003-12-31,13279806.0
2002-12-31,13030041.0
2001-12-31,12780869.0
2000-12-31,12533087.0
1999-12-31,12286995.0
1998-12-31,12042454.0
1997-12-31,11799289.0
1996-12-31,11557151.0
1995-12-31,11315800.0
1994-12-31,11075454.0
1993-12-31,10836327.0
1992-12-31,10598168.0
1991-12-31,10360630.0
1990-12-31,10123593.0
1989-12-31,9886866.0
1988-12-31,9650906.0
1987-12-31,9417031.0
1986-12-31,9186995.0
1985-12-31,8962049.0
1984-12-31,8742761.0
1983-12-31,8528791.0
1982-12-31,8319351.0
1981-12-31,8113200.0
1980-12-31,7909432.0
1979-12-31,7707895.0
1978-12-31,7508899.0
1977-12-31,7312553.0
1976-12-31,7119087.0
1975-12-31,6928694.0
1974-12-31,6741417.0
1973-12-31,6557257.0
1972-12-31,6376333.0
1971-12-31,6198787.0
1970-12-31,6024764.0
1969-12-31,5854337.0
1968-12-31,5687634.0
1967-12-31,5524930.0
1966-12-31,5366554.0
1965-12-31,5212760.0
1964-12-31,5063645.0
1963-12-31,4919224.0
1962-12-31,4779559.0
1961-12-31,4644682.0
1960-12-31,4514593.0
