Date,Value
2013-12-31,1324612.0
2012-12-31,1325016.0
2011-12-31,1327439.0
2010-12-31,1331475.0
2009-12-31,1334515.0
2008-12-31,1337090.0
2007-12-31,1340680.0
2006-12-31,1346810.0
2005-12-31,1354775.0
2004-12-31,1362550.0
2003-12-31,1370720.0
2002-12-31,1379350.0
2001-12-31,1388115.0
2000-12-31,1396985.0
1999-12-31,1380620.0
1998-12-31,1386156.0
1997-12-31,1399535.0
1996-12-31,1415594.0
1995-12-31,1436634.0
1994-12-31,1462514.0
1993-12-31,1494128.0
1992-12-31,1533091.0
1991-12-31,1561314.0
1990-12-31,1569174.0
1989-12-31,1568131.0
1988-12-31,1561900.0
1987-12-31,1552221.0
1986-12-31,1540190.0
1985-12-31,1528781.0
1984-12-31,1518617.0
1983-12-31,1508745.0
1982-12-31,1498414.0
1981-12-31,1487666.0
1980-12-31,1477219.0
1979-12-31,1468333.0
1978-12-31,1460188.0
1977-12-31,1450211.0
1976-12-31,1439576.0
1975-12-31,1429352.0
1974-12-31,1418169.0
1973-12-31,1405951.0
1972-12-31,1392518.0
1971-12-31,1376955.0
1970-12-31,1362295.0
1969-12-31,1348740.0
1968-12-31,1334050.0
1967-12-31,1319350.0
1966-12-31,1304650.0
1965-12-31,1291050.0
1964-12-31,1277000.0
1963-12-31,1261350.0
1962-12-31,1245700.0
1961-12-31,1230050.0
1960-12-31,1215650.0
