Date,Value
2013-12-31,64097085.0
2012-12-31,63695687.0
2011-12-31,63258918.0
2010-12-31,62766365.0
2009-12-31,62276270.0
2008-12-31,61806995.0
2007-12-31,61322463.0
2006-12-31,60846820.0
2005-12-31,60401206.0
2004-12-31,59987905.0
2003-12-31,59647577.0
2002-12-31,59370479.0
2001-12-31,59119673.0
2000-12-31,58892514.0
1999-12-31,58682466.0
1998-12-31,58487141.0
1997-12-31,58316954.0
1996-12-31,58166950.0
1995-12-31,58019030.0
1994-12-31,57865745.0
1993-12-31,57718614.0
1992-12-31,57580402.0
1991-12-31,57424897.0
1990-12-31,57247586.0
1989-12-31,57076711.0
1988-12-31,56928327.0
1987-12-31,56802050.0
1986-12-31,56681396.0
1985-12-31,56550268.0
1984-12-31,56422072.0
1983-12-31,56332848.0
1982-12-31,56313641.0
1981-12-31,56333829.0
1980-12-31,56314216.0
1979-12-31,56246951.0
1978-12-31,56196504.0
1977-12-31,56193492.0
1976-12-31,56211968.0
1975-12-31,56225800.0
1974-12-31,56229974.0
1973-12-31,56194527.0
1972-12-31,56086065.0
1971-12-31,55896223.0
1970-12-31,55663250.0
1969-12-31,55441750.0
1968-12-31,55211700.0
1967-12-31,54943600.0
1966-12-31,54648500.0
1965-12-31,54348050.0
1964-12-31,54000000.0
1963-12-31,53650000.0
1962-12-31,53250000.0
1961-12-31,52800000.0
1960-12-31,52400000.0
