Date,Value
2013-12-31,4476900.0
2012-12-31,4490700.0
2011-12-31,4483350.0
2010-12-31,4452800.0
2009-12-31,4410900.0
2008-12-31,4383800.0
2007-12-31,4388400.0
2006-12-31,4398000.0
2005-12-31,4361400.0
2004-12-31,4318300.0
2003-12-31,4328900.0
2002-12-31,4357000.0
2001-12-31,4386400.0
2000-12-31,4418300.0
1999-12-31,4452500.0
1998-12-31,4487300.0
1997-12-31,4531600.0
1996-12-31,4616100.0
1995-12-31,4734000.0
1994-12-31,4861600.0
1993-12-31,4911100.0
1992-12-31,4873500.0
1991-12-31,4835900.0
1990-12-31,4802000.0
1989-12-31,4803300.0
1988-12-31,4790700.0
1987-12-31,4743500.0
1986-12-31,4704500.0
1985-12-31,4662900.0
1984-12-31,4622200.0
1983-12-31,4582900.0
1982-12-31,4542800.0
1981-12-31,4504500.0
1980-12-31,4467700.0
1979-12-31,4430200.0
1978-12-31,4397700.0
1977-12-31,4372100.0
1976-12-31,4342400.0
1975-12-31,4311200.0
1974-12-31,4279500.0
1973-12-31,4242500.0
1972-12-31,4205300.0
1971-12-31,4009400.0
1970-12-31,3967800.0
1969-12-31,4080300.0
1968-12-31,4042300.0
1967-12-31,4005800.0
1966-12-31,3966700.0
1965-12-31,3921600.0
1964-12-31,3870300.0
1963-12-31,3816100.0
1962-12-31,3760300.0
1961-12-31,3703600.0
1960-12-31,3645600.0
