Date,Value
2013-12-31,1849285.0
2012-12-31,1791225.0
2011-12-31,1734966.0
2010-12-31,1680640.0
2009-12-31,1628332.0
2008-12-31,1577984.0
2007-12-31,1529406.0
2006-12-31,1482324.0
2005-12-31,1436549.0
2004-12-31,1391934.0
2003-12-31,1348548.0
2002-12-31,1306667.0
2001-12-31,1266691.0
2000-12-31,1228863.0
1999-12-31,1193143.0
1998-12-31,1159271.0
1997-12-31,1126986.0
1996-12-31,1095930.0
1995-12-31,1065746.0
1994-12-31,1036580.0
1993-12-31,1008242.0
1992-12-31,979666.0
1991-12-31,949479.0
1990-12-31,916811.0
1989-12-31,881146.0
1988-12-31,843060.0
1987-12-31,804134.0
1986-12-31,766598.0
1985-12-31,732092.0
1984-12-31,701097.0
1983-12-31,673230.0
1982-12-31,648202.0
1981-12-31,625413.0
1980-12-31,604371.0
1979-12-31,585155.0
1978-12-31,567828.0
1977-12-31,551823.0
1976-12-31,536409.0
1975-12-31,521070.0
1974-12-31,505512.0
1973-12-31,489860.0
1972-12-31,474538.0
1971-12-31,460193.0
1970-12-31,447283.0
1969-12-31,435800.0
1968-12-31,425509.0
1967-12-31,416342.0
1966-12-31,408182.0
1965-12-31,400865.0
1964-12-31,394552.0
1963-12-31,389070.0
1962-12-31,383525.0
1961-12-31,376736.0
1960-12-31,367929.0
