Date,Value
2013-12-31,757014.0
2012-12-31,736296.0
2011-12-31,715996.0
2010-12-31,696167.0
2009-12-31,676851.0
2008-12-31,658025.0
2007-12-31,639618.0
2006-12-31,621517.0
2005-12-31,603648.0
2004-12-31,585983.0
2003-12-31,568552.0
2002-12-31,551399.0
2001-12-31,534592.0
2000-12-31,518179.0
1999-12-31,502169.0
1998-12-31,486542.0
1997-12-31,471288.0
1996-12-31,456389.0
1995-12-31,441829.0
1994-12-31,427503.0
1993-12-31,413387.0
1992-12-31,399625.0
1991-12-31,386418.0
1990-12-31,373851.0
1989-12-31,362355.0
1988-12-31,351776.0
1987-12-31,340942.0
1986-12-31,328255.0
1985-12-31,312772.0
1984-12-31,293825.0
1983-12-31,272313.0
1982-12-31,250776.0
1981-12-31,232708.0
1980-12-31,220589.0
1979-12-31,215109.0
1978-12-31,215403.0
1977-12-31,220438.0
1976-12-31,228527.0
1975-12-31,238237.0
1974-12-31,249567.0
1973-12-31,262376.0
1972-12-31,274892.0
1971-12-31,284911.0
1970-12-31,290905.0
1969-12-31,292014.0
1968-12-31,288702.0
1967-12-31,282444.0
1966-12-31,275470.0
1965-12-31,269427.0
1964-12-31,264743.0
1963-12-31,260990.0
1962-12-31,257940.0
1961-12-31,255100.0
1960-12-31,252115.0
