Date,Value
2013-12-31,15468203.0
2012-12-31,15082831.0
2011-12-31,14706578.0
2010-12-31,14341576.0
2009-12-31,13988988.0
2008-12-31,13648307.0
2007-12-31,13317931.0
2006-12-31,12995374.0
2005-12-31,12678919.0
2004-12-31,12367800.0
2003-12-31,12062835.0
2002-12-31,11765738.0
2001-12-31,11478984.0
2000-12-31,11204183.0
1999-12-31,10941913.0
1998-12-31,10691090.0
1997-12-31,10449636.0
1996-12-31,10214623.0
1995-12-31,9983861.0
1994-12-31,9756398.0
1993-12-31,9532550.0
1992-12-31,9312915.0
1991-12-31,9098613.0
1990-12-31,8890329.0
1989-12-31,8688240.0
1988-12-31,8491594.0
1987-12-31,8299070.0
1986-12-31,8108903.0
1985-12-31,7919874.0
1984-12-31,7731210.0
1983-12-31,7543343.0
1982-12-31,7357730.0
1981-12-31,7176504.0
1980-12-31,7001101.0
1979-12-31,6832183.0
1978-12-31,6668975.0
1977-12-31,6509758.0
1976-12-31,6352074.0
1975-12-31,6194218.0
1974-12-31,6035549.0
1973-12-31,5876798.0
1972-12-31,5719315.0
1971-12-31,5565101.0
1970-12-31,5415616.0
1969-12-31,5271250.0
1968-12-31,5131566.0
1967-12-31,4996199.0
1966-12-31,4864495.0
1965-12-31,4735961.0
1964-12-31,4610494.0
1963-12-31,4488229.0
1962-12-31,4369153.0
1961-12-31,4253298.0
1960-12-31,4140636.0
