Date,Value
2013-12-31,9897247.0
2012-12-31,9920362.0
2011-12-31,9971727.0
2010-12-31,10000023.0
2009-12-31,10022650.0
2008-12-31,10038188.0
2007-12-31,10055780.0
2006-12-31,10071370.0
2005-12-31,10087065.0
2004-12-31,10107146.0
2003-12-31,10129552.0
2002-12-31,10158608.0
2001-12-31,10187576.0
2000-12-31,10210971.0
1999-12-31,10237530.0
1998-12-31,10266570.0
1997-12-31,10290486.0
1996-12-31,10311238.0
1995-12-31,10328965.0
1994-12-31,10343355.0
1993-12-31,10357523.0
1992-12-31,10369341.0
1991-12-31,10373400.0
1990-12-31,10373988.0
1989-12-31,10481719.0
1988-12-31,10596487.0
1987-12-31,10612741.0
1986-12-31,10630564.0
1985-12-31,10648713.0
1984-12-31,10668095.0
1983-12-31,10689463.0
1982-12-31,10705535.0
1981-12-31,10711848.0
1980-12-31,10711122.0
1979-12-31,10704152.0
1978-12-31,10684822.0
1977-12-31,10648031.0
1976-12-31,10598677.0
1975-12-31,10540525.0
1974-12-31,10478720.0
1973-12-31,10432055.0
1972-12-31,10398489.0
1971-12-31,10367537.0
1970-12-31,10337910.0
1969-12-31,10298723.0
1968-12-31,10255815.0
1967-12-31,10216604.0
1966-12-31,10178653.0
1965-12-31,10147935.0
1964-12-31,10119835.0
1963-12-31,10087947.0
1962-12-31,10061734.0
1961-12-31,10029321.0
1960-12-31,9983967.0
