Date,Value
2013-12-31,1252139596.0
2012-12-31,1236686732.0
2011-12-31,1221156319.0
2010-12-31,1205624648.0
2009-12-31,1190138069.0
2008-12-31,1174662334.0
2007-12-31,1159095250.0
2006-12-31,1143289350.0
2005-12-31,1127143548.0
2004-12-31,1110626108.0
2003-12-31,1093786762.0
2002-12-31,1076705723.0
2001-12-31,1059500888.0
2000-12-31,1042261758.0
1999-12-31,1025014711.0
1998-12-31,1007746556.0
1997-12-31,990460131.0
1996-12-31,973147577.0
1995-12-31,955804355.0
1994-12-31,938452550.0
1993-12-31,921107534.0
1992-12-31,903749636.0
1991-12-31,886348712.0
1990-12-31,868890700.0
1989-12-31,851374699.0
1988-12-31,833833510.0
1987-12-31,816328792.0
1986-12-31,798941802.0
1985-12-31,781736502.0
1984-12-31,764749394.0
1983-12-31,747986284.0
1982-12-31,731443752.0
1981-12-31,715105168.0
1980-12-31,698965575.0
1979-12-31,683032539.0
1978-12-31,667339022.0
1977-12-31,651935141.0
1976-12-31,636883717.0
1975-12-31,622232355.0
1974-12-31,608002572.0
1973-12-31,594192969.0
1972-12-31,580798773.0
1971-12-31,567805061.0
1970-12-31,555199768.0
1969-12-31,542983934.0
1968-12-31,531160986.0
1967-12-31,519722246.0
1966-12-31,508656247.0
1965-12-31,497952332.0
1964-12-31,487607406.0
1963-12-31,477615992.0
1962-12-31,467962144.0
1961-12-31,458626687.0
1960-12-31,449595489.0
