Date,Value
2013-12-31,4595281.0
2012-12-31,4586897.0
2011-12-31,4576794.0
2010-12-31,4560155.0
2009-12-31,4535375.0
2008-12-31,4489544.0
2007-12-31,4398942.0
2006-12-31,4274137.0
2005-12-31,4159914.0
2004-12-31,4070262.0
2003-12-31,3996521.0
2002-12-31,3931947.0
2001-12-31,3866243.0
2000-12-31,3805174.0
1999-12-31,3754786.0
1998-12-31,3712696.0
1997-12-31,3674171.0
1996-12-31,3637510.0
1995-12-31,3608841.0
1994-12-31,3590386.0
1993-12-31,3576261.0
1992-12-31,3558430.0
1991-12-31,3534235.0
1990-12-31,3513974.0
1989-12-31,3511009.0
1988-12-31,3524949.0
1987-12-31,3540057.0
1986-12-31,3539690.0
1985-12-31,3538082.0
1984-12-31,3532423.0
1983-12-31,3510600.0
1982-12-31,3485800.0
1981-12-31,3453000.0
1980-12-31,3412800.0
1979-12-31,3373750.0
1978-12-31,3329100.0
1977-12-31,3282200.0
1976-12-31,3238050.0
1975-12-31,3189550.0
1974-12-31,3137500.0
1973-12-31,3085950.0
1972-12-31,3036850.0
1971-12-31,2992050.0
1970-12-31,2957250.0
1969-12-31,2932650.0
1968-12-31,2915550.0
1967-12-31,2902450.0
1966-12-31,2888800.0
1965-12-31,2877300.0
1964-12-31,2866550.0
1963-12-31,2852650.0
1962-12-31,2836050.0
1961-12-31,2824400.0
1960-12-31,2828600.0
