Date,Value
2013-12-31,323002.0
2012-12-31,320716.0
2011-12-31,319014.0
2010-12-31,318041.0
2009-12-31,318499.0
2008-12-31,317414.0
2007-12-31,311566.0
2006-12-31,303782.0
2005-12-31,296734.0
2004-12-31,292074.0
2003-12-31,289521.0
2002-12-31,287523.0
2001-12-31,284968.0
2000-12-31,281205.0
1999-12-31,277381.0
1998-12-31,274047.0
1997-12-31,271128.0
1996-12-31,268916.0
1995-12-31,267468.0
1994-12-31,266021.0
1993-12-31,263725.0
1992-12-31,261057.0
1991-12-31,257797.0
1990-12-31,254826.0
1989-12-31,252852.0
1988-12-31,249740.0
1987-12-31,245859.0
1986-12-31,243180.0
1985-12-31,241405.0
1984-12-31,239511.0
1983-12-31,236977.0
1982-12-31,233860.0
1981-12-31,230755.0
1980-12-31,228138.0
1979-12-31,225735.0
1978-12-31,223537.0
1977-12-31,221799.0
1976-12-31,220154.0
1975-12-31,217979.0
1974-12-31,215209.0
1973-12-31,212317.0
1972-12-31,209137.0
1971-12-31,206098.0
1970-12-31,204438.0
1969-12-31,203369.0
1968-12-31,201488.0
1967-12-31,198751.0
1966-12-31,195570.0
1965-12-31,192286.0
1964-12-31,188983.0
1963-12-31,185653.0
1962-12-31,182378.0
1961-12-31,179029.0
1960-12-31,175574.0
