Date,Value
2013-12-31,59831093.0
2012-12-31,59539717.0
2011-12-31,59379449.0
2010-12-31,59277417.0
2009-12-31,59095365.0
2008-12-31,58826731.0
2007-12-31,58438310.0
2006-12-31,58143979.0
2005-12-31,57969484.0
2004-12-31,57685327.0
2003-12-31,57313203.0
2002-12-31,57059007.0
2001-12-31,56974100.0
2000-12-31,56942108.0
1999-12-31,56916317.0
1998-12-31,56906744.0
1997-12-31,56890372.0
1996-12-31,56860281.0
1995-12-31,56844303.0
1994-12-31,56843400.0
1993-12-31,56831821.0
1992-12-31,56797087.0
1991-12-31,56758521.0
1990-12-31,56719240.0
1989-12-31,56671781.0
1988-12-31,56629288.0
1987-12-31,56601931.0
1986-12-31,56596155.0
1985-12-31,56593071.0
1984-12-31,56576718.0
1983-12-31,56564074.0
1982-12-31,56543548.0
1981-12-31,56501675.0
1980-12-31,56433883.0
1979-12-31,56317749.0
1978-12-31,56155143.0
1977-12-31,55955411.0
1976-12-31,55718260.0
1975-12-31,55441001.0
1974-12-31,55110868.0
1973-12-31,54751406.0
1972-12-31,54381345.0
1971-12-31,54073490.0
1970-12-31,53821850.0
1969-12-31,53537950.0
1968-12-31,53235750.0
1967-12-31,52900500.0
1966-12-31,52519000.0
1965-12-31,52112350.0
1964-12-31,51675350.0
1963-12-31,51252000.0
1962-12-31,50879450.0
1961-12-31,50536350.0
1960-12-31,50199700.0
