Date,Value
2013-12-31,2715000.0
2012-12-31,2707805.0
2011-12-31,2699838.0
2010-12-31,2690824.0
2009-12-31,2681386.0
2008-12-31,2671934.0
2007-12-31,2662481.0
2006-12-31,2653042.0
2005-12-31,2643601.0
2004-12-31,2634145.0
2003-12-31,2624695.0
2002-12-31,2615253.0
2001-12-31,2605556.0
2000-12-31,2589389.0
1999-12-31,2574289.0
1998-12-31,2556780.0
1997-12-31,2534069.0
1996-12-31,2509923.0
1995-12-31,2480000.0
1994-12-31,2460002.0
1993-12-31,2441024.0
1992-12-31,2423044.0
1991-12-31,2406042.0
1990-12-31,2390000.0
1989-12-31,2374900.0
1988-12-31,2356400.0
1987-12-31,2350600.0
1986-12-31,2335800.0
1985-12-31,2311100.0
1984-12-31,2279900.0
1983-12-31,2240800.0
1982-12-31,2200100.0
1981-12-31,2162300.0
1980-12-31,2133000.0
1979-12-31,2104141.0
1978-12-31,2080307.0
1977-12-31,2059399.0
1976-12-31,2037716.0
1975-12-31,2013000.0
1974-12-31,1985852.0
1973-12-31,1956080.0
1972-12-31,1925162.0
1971-12-31,1895629.0
1970-12-31,1869000.0
1969-12-31,1844936.0
1968-12-31,1823706.0
1967-12-31,1803891.0
1966-12-31,1783125.0
1965-12-31,1760000.0
1964-12-31,1734763.0
1963-12-31,1707019.0
1962-12-31,1678467.0
1961-12-31,1651915.0
1960-12-31,1629003.0
