Date,Value
2013-12-31,17037508.0
2012-12-31,16791425.0
2011-12-31,16556600.0
2010-12-31,16321581.0
2009-12-31,16092701.0
2008-12-31,15674000.0
2007-12-31,15484192.0
2006-12-31,15308084.0
2005-12-31,15147029.0
2004-12-31,15012985.0
2003-12-31,14909018.0
2002-12-31,14858948.0
2001-12-31,14858335.0
2000-12-31,14883626.0
1999-12-31,14928426.0
1998-12-31,15071300.0
1997-12-31,15333703.0
1996-12-31,15577894.0
1995-12-31,15815626.0
1994-12-31,16095199.0
1993-12-31,16330419.0
1992-12-31,16439095.0
1991-12-31,16450500.0
1990-12-31,16348000.0
1989-12-31,16249500.0
1988-12-31,15982510.0
1987-12-31,15801753.0
1986-12-31,15600928.0
1985-12-31,15403006.0
1984-12-31,15214051.0
1983-12-31,15030495.0
1982-12-31,14853993.0
1981-12-31,14683789.0
1980-12-31,14518924.0
1979-12-31,14362417.0
1978-12-31,14215111.0
1977-12-31,14070681.0
1976-12-31,13920105.0
1975-12-31,13756789.0
1974-12-31,13577049.0
1973-12-31,13382211.0
1972-12-31,13176584.0
1971-12-31,12966920.0
1970-12-31,12757245.0
1969-12-31,12550121.0
1968-12-31,12341412.0
1967-12-31,12120504.0
1966-12-31,11872939.0
1965-12-31,11588870.0
1964-12-31,11267329.0
1963-12-31,10913552.0
1962-12-31,10532062.0
1961-12-31,10129861.0
1960-12-31,9714260.0
