Date,Value
2013-12-31,5719500.0
2012-12-31,5607200.0
2011-12-31,5514600.0
2010-12-31,5447900.0
2009-12-31,5383300.0
2008-12-31,5318700.0
2007-12-31,5268400.0
2006-12-31,5218400.0
2005-12-31,5162600.0
2004-12-31,5104700.0
2003-12-31,5043300.0
2002-12-31,4990700.0
2001-12-31,4945100.0
2000-12-31,4898400.0
1999-12-31,4840400.0
1998-12-31,4769000.0
1997-12-31,4696400.0
1996-12-31,4628400.0
1995-12-31,4560400.0
1994-12-31,4515100.0
1993-12-31,4516700.0
1992-12-31,4515400.0
1991-12-31,4463600.0
1990-12-31,4391200.0
1989-12-31,4307500.0
1988-12-31,4218400.0
1987-12-31,4144600.0
1986-12-31,4066500.0
1985-12-31,3990300.0
1984-12-31,3916400.0
1983-12-31,3838300.0
1982-12-31,3759300.0
1981-12-31,3685800.0
1980-12-31,3617400.0
1979-12-31,3552000.0
1978-12-31,3487100.0
1977-12-31,3423900.0
1976-12-31,3358700.0
1975-12-31,3292400.0
1974-12-31,3223900.0
1973-12-31,3153800.0
1972-12-31,3088200.0
1971-12-31,3022300.0
1970-12-31,2959900.0
1969-12-31,2894800.0
1968-12-31,2818300.0
1967-12-31,2736500.0
1966-12-31,2655300.0
1965-12-31,2573300.0
1964-12-31,2495300.0
1963-12-31,2413700.0
1962-12-31,2333400.0
1961-12-31,2255900.0
1960-12-31,2172300.0
