Date,Value
2013-12-31,102351.0
2012-12-31,100786.0
2011-12-31,99250.0
2010-12-31,97743.0
2009-12-31,96272.0
2008-12-31,94832.0
2007-12-31,93401.0
2006-12-31,91953.0
2005-12-31,90468.0
2004-12-31,88936.0
2003-12-31,87371.0
2002-12-31,85799.0
2001-12-31,84261.0
2000-12-31,82788.0
1999-12-31,81377.0
1998-12-31,80018.0
1997-12-31,78725.0
1996-12-31,77511.0
1995-12-31,76378.0
1994-12-31,75346.0
1993-12-31,74395.0
1992-12-31,73434.0
1991-12-31,72343.0
1990-12-31,71040.0
1989-12-31,69490.0
1988-12-31,67729.0
1987-12-31,65841.0
1986-12-31,63950.0
1985-12-31,62145.0
1984-12-31,60455.0
1983-12-31,58860.0
1982-12-31,57352.0
1981-12-31,55908.0
1980-12-31,54510.0
1979-12-31,53154.0
1978-12-31,51853.0
1977-12-31,50617.0
1976-12-31,49466.0
1975-12-31,48404.0
1974-12-31,47446.0
1973-12-31,46573.0
1972-12-31,45731.0
1971-12-31,44843.0
1970-12-31,43860.0
1969-12-31,42756.0
1968-12-31,41552.0
1967-12-31,40296.0
1966-12-31,39055.0
1965-12-31,37881.0
1964-12-31,36789.0
1963-12-31,35766.0
1962-12-31,34800.0
1961-12-31,33873.0
1960-12-31,32970.0
