Date,Value
2013-12-31,3368572.0
2012-12-31,3250496.0
2011-12-31,3124705.0
2010-12-31,2991580.0
2009-12-31,2850102.0
2008-12-31,2702221.0
2007-12-31,2554920.0
2006-12-31,2417445.0
2005-12-31,2296314.0
2004-12-31,2196466.0
2003-12-31,2116353.0
2002-12-31,2048232.0
2001-12-31,1980604.0
2000-12-31,1906231.0
1999-12-31,1818405.0
1998-12-31,1722208.0
1997-12-31,1635999.0
1996-12-31,1585244.0
1995-12-31,1586123.0
1991-12-31,1999651.0
1990-12-31,2059774.0
1989-12-31,2059222.0
1988-12-31,2007415.0
1987-12-31,1919980.0
1986-12-31,1821560.0
1985-12-31,1730441.0
1984-12-31,1650388.0
1983-12-31,1576266.0
1982-12-31,1507059.0
1981-12-31,1439561.0
1980-12-31,1371494.0
1979-12-31,1303795.0
1978-12-31,1238353.0
1977-12-31,1174713.0
1976-12-31,1112107.0
1975-12-31,1049988.0
1974-12-31,988328.0
1973-12-31,927403.0
1972-12-31,867326.0
1971-12-31,808277.0
1970-12-31,750423.0
1969-12-31,694069.0
1968-12-31,639328.0
1967-12-31,585968.0
1966-12-31,533633.0
1965-12-31,482247.0
1964-12-31,431404.0
1963-12-31,381688.0
1962-12-31,335186.0
1961-12-31,294670.0
1960-12-31,261994.0
