Date,Value
2013-12-31,6201521.0
2012-12-31,6154623.0
2011-12-31,6103233.0
2010-12-31,6040612.0
2009-12-31,5964325.0
2008-12-31,5876805.0
2007-12-31,5782108.0
2006-12-31,5686475.0
2005-12-31,5594450.0
2004-12-31,5507000.0
2003-12-31,5422612.0
2002-12-31,5340389.0
2001-12-31,5258677.0
2000-12-31,5176185.0
1999-12-31,5092939.0
1998-12-31,5009240.0
1997-12-31,4924347.0
1996-12-31,4837354.0
1995-12-31,4747619.0
1994-12-31,4654483.0
1993-12-31,4558021.0
1992-12-31,4459214.0
1991-12-31,4359515.0
1990-12-31,4259811.0
1989-12-31,4161093.0
1988-12-31,4062672.0
1987-12-31,3961787.0
1986-12-31,3854631.0
1985-12-31,3738814.0
1984-12-31,3613208.0
1983-12-31,3479637.0
1982-12-31,3342302.0
1981-12-31,3207065.0
1980-12-31,3078255.0
1979-12-31,2957454.0
1978-12-31,2843816.0
1977-12-31,2736280.0
1976-12-31,2632823.0
1975-12-31,2531982.0
1974-12-31,2433719.0
1973-12-31,2338769.0
1972-12-31,2247280.0
1971-12-31,2159518.0
1970-12-31,2075651.0
1969-12-31,1995704.0
1968-12-31,1919537.0
1967-12-31,1846963.0
1966-12-31,1777725.0
1965-12-31,1711637.0
1964-12-31,1648635.0
1963-12-31,1588755.0
1962-12-31,1532042.0
1961-12-31,1478580.0
1960-12-31,1428435.0
