Date,Value
2013-12-31,543202.0
2012-12-31,530946.0
2011-12-31,518347.0
2010-12-31,506953.0
2009-12-31,497783.0
2008-12-31,488650.0
2007-12-31,479993.0
2006-12-31,472637.0
2005-12-31,465158.0
2004-12-31,458095.0
2003-12-31,451630.0
2002-12-31,446175.0
2001-12-31,441525.0
2000-12-31,436300.0
1999-12-31,430475.0
1998-12-31,424700.0
1997-12-31,419450.0
1996-12-31,414225.0
1995-12-31,408625.0
1994-12-31,402925.0
1993-12-31,397475.0
1992-12-31,392175.0
1991-12-31,387000.0
1990-12-31,381850.0
1989-12-31,377100.0
1988-12-31,373450.0
1987-12-31,370750.0
1986-12-31,368355.0
1985-12-31,366706.0
1984-12-31,365998.0
1983-12-31,365622.0
1982-12-31,365525.0
1981-12-31,365225.0
1980-12-31,364150.0
1979-12-31,362856.0
1978-12-31,362007.0
1977-12-31,361358.0
1976-12-31,360731.0
1975-12-31,358950.0
1974-12-31,355050.0
1973-12-31,350450.0
1972-12-31,346600.0
1971-12-31,342421.0
1970-12-31,339171.0
1969-12-31,337500.0
1968-12-31,335850.0
1967-12-31,334995.0
1966-12-31,333895.0
1965-12-31,331500.0
1964-12-31,327750.0
1963-12-31,324100.0
1962-12-31,320750.0
1961-12-31,316845.0
1960-12-31,313970.0
